"Timestamp","Answer the following survey questions about your current online course. [My instructor provided a syllabus that clearly defined the expectations of the course.]","Answer the following survey questions about your current online course. [My instructor provided clear instructions for assignments and exams.]","Answer the following survey questions about your current online course. [My instructor provided clear instructions for the use of course Canvas/website content including how to navigate assignments, exams, the grade book, etc.]","Answer the following survey questions about your current online course. [My instructor provided objective feedback on submitted assignments.]","Answer the following survey questions about your current online course. [My instructor provided effective opportunity to learn from classmates via Discord or other methods.]","Answer the following survey questions about your current online course. [My instructor provided instruction for accessing technical support at GCC]","Answer the following survey questions about your current online course. [My instructor is one I would recommend to others.]","Answer the following survey questions about your current online course. [As a distance education student at GCC I feel supported.]","Answer the following survey questions about your current online course. [I know who my advisor is at the Enrollment Center.]","Answer the following survey questions about your current online course. [I find Canvas easy to use.]","Answer the following survey questions about your current online course. [I found the free Maricopa Adobe software easy to find and install with the instructions provided.]","Answer the following survey questions about your current online course. [I feel like my instructor has empathy and cares about my success.]","Answer the following survey questions about your current online course. [My instructor is knowledgeable about the subject of this course.]","Answer the following survey questions about your current online course. [My instructor responds within the timeframe s/he indicated on the syllabus.]","Answer the following survey questions about your current online course. [I gained work that I can show in my final portfolio/reel in this course.]","Answer the following survey questions about your current online course. [I feel that this online course provided an opportunity for me to learn as well as an in person class.]","Answer the following survey questions about your current online course. [There are aspects of taking a course online I prefer over an in-person class for example, not having to come to campus.]","Answer the following survey questions about your current online course. [I have utilized the tutors provided in this program to help me with my learning.]","Answer the following survey questions about your current online course. [I utilized one of the laptops available for check out for this course.]","Answer the following survey questions about your current online course. [I have sufficient hardware/software to complete this course online.]","What do you feel your instructor has done particularly well in this course?","What do you feel your instructor could do to improve this course?","What additional comments do you wish to make?","","","",""
"2020/12/03 4:14:51 PM CST","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","","","","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2020/12/05 4:11:43 PM CST","Strongly Agree","Agree","Neither Agree or Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","","","","Agree","Agree","Neither Agree or Disagree","Neither Agree or Disagree"
"2020/12/07 9:46:56 AM CST","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree or Disagree","Neither Agree or Disagree","Strongly Agree","Strongly Agree","","","","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"2020/12/10 10:35:50 PM CST","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Neither Agree or Disagree","Strongly Agree","Super thoughtful and understanding of students.","","","Agree","Agree","Agree","Disagree"
"2020/12/17 11:20:10 PM CST","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","She has been, greatly communicative on the class's social forum.","Nothing comes to mind at the moment","none","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2026/05/04 7:36:24 PM CST","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","The instructor has provided a variety of resource that are easy to understand. The instructor also provided well honest feedback on projects that encourage me to keep going and improve more.","Overall, I can't think of any improvements for my instructor.","","","","",""
"2026/05/05 8:35:47 PM CST","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","She provided helpful critiques along the way that have helped shape my work into the best work.","I think she is doing great","I have enjoyed being in your class this semester","","","",""
"2026/05/05 10:50:56 PM CST","Strongly Agree","Neither Agree or Disagree","Agree","Neither Agree or Disagree","Disagree","Agree","Disagree","Neither Agree or Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree or Disagree","Neither Agree or Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Neither Agree or Disagree","Strongly Disagree","Strongly Agree","","","","","","",""
"2026/05/08 1:06:08 PM CST","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Organize the class in manageable sections especially for full-time students. ","More feedback on projects. It's nice getting classmate feedback, but I would love to have more of an idea of what the instructor expects. ","","","","",""
"2026/05/10 9:08:49 AM CST","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree or Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Innovation. She is on the cutting edge of AI use in MCCCCD","Since the class is being redeveloped, just flesh it out and lock it in.","Michelle Blomberg is awesome. I've taken classes from her before and plan to again.","","","",""
"2026/05/10 10:56:15 AM CST","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","My instructor had everything prepared and ready for us to do.","I feel like they could double assignments because one of them we couldn't submit.","That's it!","","","",""
"2026/05/10 7:24:39 PM CST","Strongly Agree","Neither Agree or Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree or Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","My instructor has helped with clarifying and explaining instructions that were otherwise challenging for me to correctly follow in a timely manor. She has also helped ensure I got a good opportunity to succeed in this course.","Better clarify some due dates, though this was discussed as being something without a straightforward solution due to a few factors.","Thank you for helping me succeed in this class. I would have not been able to do as much as I have without your help. Thank you also for responding to all of my messages in a timely manner.","","","",""
"2026/05/10 10:36:10 PM CST","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neither Agree or Disagree","Neither Agree or Disagree","Agree","She has done amazing in providing feedback to our work, and I feel it has been in a way that feels both supportive and provides growth in with our skills.","I don't feel there are any things she can improve, she is an amazing teacher overall, and I really enjoyed my experience.","This has been an overall amazing course, and it's really sad how it's coming to an end. I really enjoyed this course and the amazing classmates as well, the way it's structure is perfect for a student like me. Amazing!","","","",""
